time,open,high,low,close,volume
1734102000,21797.5,21798.0,21756.0,21758.25,11251
1734103800,21758.25,21767.0,21751.75,21760.5,3094
1734282000,21780.25,21792.0,21762.0,21783.25,3205
1734283800,21783.0,21800.0,21781.5,21789.0,1679
1734285600,21790.0,21808.75,21785.5,21807.0,1616
1734287400,21807.0,21808.0,21797.5,21801.25,956
1734289200,21801.0,21810.0,21789.75,21792.25,1278
1734291000,21793.0,21814.25,21783.25,21813.25,1690
1734292800,21813.25,21818.5,21808.5,21811.25,1184
1734294600,21811.0,21821.75,21811.0,21817.0,889
1734296400,21816.75,21819.0,21807.5,21817.25,896
1734298200,21817.5,21819.75,21803.5,21804.25,854
1734300000,21804.75,21814.5,21803.5,21809.25,723
1734301800,21808.5,21810.5,21796.25,21800.75,717
1734303600,21800.5,21804.25,21787.0,21793.0,1013
1734305400,21793.25,21799.25,21784.25,21790.5,1258
1734307200,21790.5,21806.25,21790.5,21801.0,861
1734309000,21801.75,21809.25,21795.25,21808.5,686
1734310800,21809.0,21809.75,21799.0,21807.25,957
1734312600,21807.5,21810.75,21792.75,21804.0,857
1734314400,21804.25,21814.0,21795.0,21800.25,1871
1734316200,21801.0,21819.0,21800.25,21811.0,1659
1734318000,21810.75,21833.75,21806.5,21827.25,1910
1734319800,21828.5,21848.5,21824.75,21846.75,1402
1734321600,21847.5,21863.75,21847.25,21862.5,1956
1734323400,21861.75,21866.5,21856.75,21862.5,1081
1734325200,21862.5,21863.5,21837.75,21850.5,1571
1734327000,21851.0,21864.5,21839.5,21860.75,1790
1734328800,21860.5,21882.25,21854.25,21878.5,2240
1734330600,21878.5,21883.5,21865.0,21874.0,1893
1734332400,21874.0,21906.0,21867.0,21903.0,3913
1734334200,21902.5,21913.5,21897.75,21910.75,4564
1734336000,21910.75,21912.0,21880.75,21899.0,6333
1734337800,21899.5,21972.0,21896.0,21971.25,43578
1734339600,21971.5,21995.75,21929.25,21995.25,30626
1734341400,21995.25,22024.25,21982.75,21991.75,22930
1734343200,21991.75,22048.5,21990.5,22036.0,17986
1734345000,22036.0,22057.5,22003.25,22055.5,17921
1734346800,22055.75,22062.5,22038.25,22060.25,9441
1734348600,22060.75,22087.75,22059.0,22086.0,12878
1734350400,22086.5,22124.75,22080.25,22120.5,13477
1734352200,22121.0,22125.0,22107.75,22117.0,10326
1734354000,22117.25,22141.0,22104.75,22127.5,10923
1734355800,22127.5,22142.5,22119.5,22124.25,8312
1734357600,22125.0,22152.5,22124.75,22145.5,10937
1734359400,22145.0,22145.75,22097.5,22111.0,23271
1734361200,22111.5,22117.75,22095.5,22100.5,7020
1734363000,22100.25,22113.25,22098.75,22111.75,1886
1734368400,22115.0,22118.25,22080.25,22093.0,1951
1734370200,22093.5,22106.5,22090.75,22099.25,942
1734372000,22100.25,22100.5,22088.0,22091.5,852
1734373800,22091.0,22097.0,22085.25,22088.0,626
1734375600,22087.75,22109.25,22082.5,22104.75,1256
1734377400,22105.75,22117.5,22105.5,22115.0,962
1734379200,22115.0,22123.25,22114.0,22115.25,764
1734381000,22115.75,22122.75,22112.5,22118.75,589
1734382800,22118.75,22123.25,22113.5,22122.75,335
1734384600,22122.5,22124.5,22112.25,22115.25,351
1734386400,22116.5,22124.5,22116.0,22123.0,309
1734388200,22123.25,22123.5,22114.75,22114.75,360
