,Open,High,Low,Close,Volume
2024-07-22 04:30:00,19831.75,19852.5,19830.0,19846.5,3191
2024-07-22 05:00:00,19846.25,19875.0,19837.75,19868.75,6285
2024-07-22 05:30:00,19869.5,19891.0,19858.75,19889.75,4051
2024-07-22 06:00:00,19890.0,19892.25,19866.25,19873.75,4658
2024-07-22 06:30:00,19873.5,19899.25,19872.25,19897.5,4374
2024-07-22 07:00:00,19897.25,19926.5,19892.5,19922.75,6857
2024-07-22 07:30:00,19923.0,19931.0,19907.0,19912.75,6499
2024-07-22 08:00:00,19912.25,19958.5,19911.0,19954.75,13704
2024-07-22 08:30:00,19954.75,20026.75,19882.75,19970.5,92165
2024-07-22 09:00:00,19970.25,19980.75,19895.0,19961.75,57174
2024-07-22 09:30:00,19962.0,20018.75,19929.5,19954.25,50090
2024-07-22 10:00:00,19954.75,19998.0,19828.25,19837.0,53847
2024-07-22 10:30:00,19837.5,19874.0,19809.75,19865.25,39744
2024-07-22 11:00:00,19865.25,19906.75,19835.5,19890.25,27372
2024-07-22 11:30:00,19890.5,19973.25,19879.0,19961.5,26241
2024-07-22 12:00:00,19961.5,19994.0,19957.5,19982.0,21011
2024-07-22 12:30:00,19982.0,20016.25,19975.75,19999.5,23335
2024-07-22 13:00:00,20000.0,20044.75,19992.5,20020.75,20468
2024-07-22 13:30:00,20020.5,20042.25,20009.5,20011.0,17247
2024-07-22 14:00:00,20011.25,20022.75,19979.25,19994.25,25726
2024-07-22 14:30:00,19994.5,20032.5,19979.5,19998.0,40637
2024-07-22 15:00:00,19997.5,20012.75,19967.0,19971.0,14330
2024-07-22 15:30:00,19971.75,19981.75,19964.5,19980.75,2505
2024-07-22 17:00:00,19982.0,19993.0,19973.0,19992.75,1833
2024-07-22 17:30:00,19993.0,19998.25,19982.75,19986.5,2505
2024-07-22 18:00:00,19986.25,19988.0,19972.5,19975.5,2543
2024-07-22 18:30:00,19975.0,19976.0,19953.25,19954.75,1731
2024-07-22 19:00:00,19955.25,19966.5,19947.5,19951.25,2860
2024-07-22 19:30:00,19951.5,19957.75,19925.0,19937.25,2652
2024-07-22 20:00:00,19938.0,19968.75,19933.0,19964.25,2264
2024-07-22 20:30:00,19964.5,19965.75,19940.75,19955.0,1864
2024-07-22 21:00:00,19954.75,19959.0,19935.0,19946.5,1434
2024-07-22 21:30:00,19947.5,19953.0,19944.25,19947.5,859
2024-07-22 22:00:00,19948.5,19949.0,19911.5,19928.0,2404
2024-07-22 22:30:00,19927.0,19935.0,19922.25,19933.0,1630
2024-07-22 23:00:00,19933.25,19951.5,19933.0,19940.25,1139
2024-07-22 23:30:00,19940.25,19944.5,19931.75,19941.0,833
2024-07-23 00:00:00,19941.25,19953.75,19940.5,19944.25,978
2024-07-23 00:30:00,19943.25,19949.5,19921.5,19932.25,1688
2024-07-23 01:00:00,19932.75,19936.0,19898.0,19905.75,3220
2024-07-23 01:30:00,19905.5,19947.25,19905.0,19937.0,3905
2024-07-23 02:00:00,19937.5,19939.5,19868.25,19880.75,5878
2024-07-23 02:30:00,19881.25,19919.25,19875.5,19893.0,5213
2024-07-23 03:00:00,19893.5,19917.25,19876.25,19887.75,5613
2024-07-23 03:30:00,19888.0,19930.0,19886.5,19920.5,3450
2024-07-23 04:00:00,19921.0,19971.5,19920.25,19962.75,4417
